dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_narrow_medium,cql,9,5000,0.600963,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed9.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,10,5000,0.612419,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed10.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,11,5000,0.618606,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed11.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,12,5000,0.599789,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed12.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,13,5000,0.628174,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed13.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,14,5000,0.627050,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed14.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,15,5000,0.601970,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed15.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,16,5000,0.606236,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed16.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,17,5000,0.589515,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed17.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,18,5000,0.583862,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed18.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,19,5000,0.593816,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed19.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_large_wide_medium,bc,0,5000,0.569696,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed0.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,1,5000,0.550790,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed1.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,2,5000,0.581744,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed2.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_large_wide_medium,bc,3,5000,0.599619,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_large_wide_medium_bc_seed3.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
