dataset_name,quality_bin,algorithm,train_seed,source_summary_type,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,run_avg_return,run_success_rate,run_avg_episode_length,ood_action_rate_step,support_overlap_rate_unique_sa,eval_sa_coverage_wrt_dataset_support,support_distance_proxy,q_over_rate,q_over_mean_excess,checkpoint_path,status,notes
envA_v2_small_narrow_medium,medium,bc,9,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed9.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,10,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed10.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,11,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed11.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,12,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed12.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,13,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed13.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,14,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed14.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,15,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed15.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,16,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed16.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,17,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed17.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,18,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed18.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,19,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed19.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,0,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.075000,0.026368,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed0.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,1,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.014792,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed1.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,2,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.037500,0.015367,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed2.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,3,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.087500,0.024633,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed3.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
